time,srad
2013-08-08 10:30:00,26.4816
2013-08-09 10:30:00,23.0688
2013-08-10 10:30:00,25.6284
2013-08-11 10:30:00,20.606401
2013-08-12 10:30:00,6.6744003
2013-08-13 10:30:00,25.002
2013-08-14 10:30:00,22.9284
2013-08-15 10:30:00,21.546001
2013-08-16 10:30:00,5.2596
2013-08-17 10:30:00,16.8588
2013-08-18 10:30:00,21.0168
2013-08-19 10:30:00,23.6304
2013-08-20 10:30:00,22.345201
2013-08-21 10:30:00,4.9464
2013-08-22 10:30:00,14.6988
2013-08-23 10:30:00,23.4468
2013-08-24 10:30:00,23.9004
2013-08-25 10:30:00,19.7316
2013-08-26 10:30:00,24.613201
2013-08-27 10:30:00,18.8244
2013-08-28 10:30:00,2.8512
2013-08-29 10:30:00,18.7488
2013-08-30 10:30:00,21.276001
2013-08-31 10:30:00,16.6644
2013-09-01 10:30:00,8.5536
2013-09-02 10:30:00,15.033601
2013-09-03 10:30:00,23.079601
2013-09-04 10:30:00,22.4748
2013-09-05 10:30:00,16.189201
2013-09-06 10:30:00,5.0544
2013-09-07 10:30:00,18.2304
2013-09-08 10:30:00,21.7728
2013-09-09 10:30:00,12.258
2013-09-10 10:30:00,20.412
2013-09-11 10:30:00,21.200401
2013-09-12 10:30:00,19.5804
2013-09-13 10:30:00,17.82
2013-09-14 10:30:00,19.180801
2013-09-15 10:30:00,22.302
2013-09-16 10:30:00,19.2132
2013-09-17 10:30:00,20.6172
2013-09-18 10:30:00,17.3016
2013-09-19 10:30:00,10.2276
2013-09-20 10:30:00,19.17
2013-09-21 10:30:00,19.634401
2013-09-22 10:30:00,17.064001
2013-09-23 10:30:00,14.601601
2013-09-24 10:30:00,19.9368
2013-09-25 10:30:00,14.5692005
2013-09-26 10:30:00,19.4076
2013-09-27 10:30:00,19.062
2013-09-28 10:30:00,14.7852
2013-09-29 10:30:00,18.4464
2013-09-30 10:30:00,15.39
2013-10-01 10:30:00,8.305201
2013-10-02 10:30:00,17.582401
2013-10-03 10:30:00,18.068401
2013-10-04 10:30:00,14.029201
2013-10-05 10:30:00,15.9624
2013-10-06 10:30:00,10.810801
2013-10-07 10:30:00,16.297201
2013-10-08 10:30:00,15.39
2013-10-09 10:30:00,12.1068
2013-10-10 10:30:00,3.078
2013-10-11 10:30:00,8.478001
2013-10-12 10:30:00,14.904
2013-10-13 10:30:00,12.2148
2013-10-14 10:30:00,13.1004
2013-10-15 10:30:00,14.6124
2013-10-16 10:30:00,12.463201
2013-10-17 10:30:00,11.6748
2013-10-18 10:30:00,8.5428
2013-10-19 10:30:00,10.4652
2013-10-20 10:30:00,8.391601
2013-10-21 10:30:00,3.6504002
2013-10-22 10:30:00,3.3696
2013-10-23 10:30:00,6.0048003
2013-10-24 10:30:00,3.0888002
2013-10-25 10:30:00,10.422
2013-10-26 10:30:00,10.3248005
2013-10-27 10:30:00,8.0028
2013-10-28 10:30:00,3.2076
2013-10-29 10:30:00,11.523601
2013-10-30 10:30:00,10.206
2013-10-31 10:30:00,9.9468
2013-11-01 10:30:00,9.1368
2013-11-02 10:30:00,7.9164004
2013-11-03 10:30:00,9.4932
2013-11-04 10:30:00,10.2924
2013-11-05 10:30:00,7.5384
2013-11-06 10:30:00,8.8992
2013-11-07 10:30:00,7.4304004
2013-11-08 10:30:00,4.5684
2013-11-09 10:30:00,3.7800002
2013-11-10 10:30:00,9.1152
2013-11-11 10:30:00,5.7024
2013-11-12 10:30:00,9.1368
2013-11-13 10:30:00,8.316
2013-11-14 10:30:00,7.4736004
2013-11-15 10:30:00,7.7652
2013-11-16 10:30:00,4.104
2013-11-17 10:30:00,3.4452002
2013-11-18 10:30:00,6.912
2013-11-19 10:30:00,6.9444003
2013-11-20 10:30:00,7.5708003
2013-11-21 10:30:00,7.2252
2013-11-22 10:30:00,7.5816
2013-11-23 10:30:00,7.3656
2013-11-24 10:30:00,6.642
2013-11-25 10:30:00,7.6356
2013-11-26 10:30:00,5.6808
2013-11-27 10:30:00,5.3892
2013-11-28 10:30:00,5.8104
2013-11-29 10:30:00,7.4952
2013-11-30 10:30:00,6.5988
2013-12-01 10:30:00,7.4412003
2013-12-02 10:30:00,6.6528
2013-12-03 10:30:00,6.0480003
2013-12-04 10:30:00,7.3872004
2013-12-05 10:30:00,6.8688
2013-12-06 10:30:00,6.8256
2013-12-07 10:30:00,6.6852
2013-12-08 10:30:00,2.5596
2013-12-09 10:30:00,4.5468
2013-12-10 10:30:00,2.3760002
2013-12-11 10:30:00,5.994
2013-12-12 10:30:00,5.6484003
2013-12-13 10:30:00,5.6376
2013-12-14 10:30:00,5.238
2013-12-15 10:30:00,4.4064
2013-12-16 10:30:00,5.8320003
2013-12-17 10:30:00,5.4108
2013-12-18 10:30:00,2.7324002
2013-12-19 10:30:00,1.7712001
2013-12-20 10:30:00,2.1924
2013-12-21 10:30:00,5.6916003
2013-12-22 10:30:00,5.9292
2013-12-23 10:30:00,5.7888002
2013-12-24 10:30:00,3.5748
2013-12-25 10:30:00,5.6268
2013-12-26 10:30:00,2.2032
2013-12-27 10:30:00,4.4496
2013-12-28 10:30:00,4.2012
2013-12-29 10:30:00,5.5188003
2013-12-30 10:30:00,6.3180003
2013-12-31 10:30:00,5.4648004
2014-01-01 10:30:00,6.3936
2014-01-02 10:30:00,5.5944
2014-01-03 10:30:00,6.5124
2014-01-04 10:30:00,6.426
2014-01-05 10:30:00,6.5124
2014-01-06 10:30:00,5.3784003
2014-01-07 10:30:00,6.696
2014-01-08 10:30:00,6.7284
2014-01-09 10:30:00,5.0004
2014-01-10 10:30:00,6.8472004
2014-01-11 10:30:00,6.9444003
2014-01-12 10:30:00,6.7716002
2014-01-13 10:30:00,7.1928
2014-01-14 10:30:00,7.1172004
2014-01-15 10:30:00,6.9876003
2014-01-16 10:30:00,7.4196
2014-01-17 10:30:00,6.5988
2014-01-18 10:30:00,7.5492
2014-01-19 10:30:00,2.052
2014-01-20 10:30:00,4.3416
2014-01-21 10:30:00,7.668
2014-01-22 10:30:00,7.2468004
2014-01-23 10:30:00,5.7132
2014-01-24 10:30:00,7.6464
2014-01-25 10:30:00,8.5536
2014-01-26 10:30:00,8.391601
2014-01-27 10:30:00,8.704801
2014-01-28 10:30:00,5.7780004
2014-01-29 10:30:00,6.4476004
2014-01-30 10:30:00,9.1368
2014-01-31 10:30:00,9.3096
2014-02-01 10:30:00,7.9056
2014-02-02 10:30:00,9.644401
2014-02-03 10:30:00,9.158401
2014-02-04 10:30:00,9.4824
2014-02-05 10:30:00,10.6488
2014-02-06 10:30:00,9.730801
2014-02-07 10:30:00,8.7696
2014-02-08 10:30:00,9.0288
2014-02-09 10:30:00,10.2924
2014-02-10 10:30:00,10.3788
2014-02-11 10:30:00,8.8992
2014-02-12 10:30:00,10.746
2014-02-13 10:30:00,9.4284
2014-02-14 10:30:00,8.5104
2014-02-15 10:30:00,9.6336
2014-02-16 10:30:00,9.612
2014-02-17 10:30:00,11.826
2014-02-18 10:30:00,11.3724
2014-02-19 10:30:00,12.1284
2014-02-20 10:30:00,10.7676
2014-02-21 10:30:00,8.7804
2014-02-22 10:30:00,10.411201
2014-02-23 10:30:00,10.854
2014-02-24 10:30:00,9.4824
2014-02-25 10:30:00,12.463201
2014-02-26 10:30:00,7.0092
2014-02-27 10:30:00,13.932
2014-02-28 10:30:00,12.1068
2014-03-01 10:30:00,13.9428005
2014-03-02 10:30:00,13.392
2014-03-03 10:30:00,11.772
2014-03-04 10:30:00,14.2452
2014-03-05 10:30:00,14.0508
2014-03-06 10:30:00,14.5044
2014-03-07 10:30:00,14.8932
2014-03-08 10:30:00,14.115601
2014-03-09 10:30:00,15.2172
2014-03-10 10:30:00,14.7528
2014-03-11 10:30:00,13.2300005
2014-03-12 10:30:00,15.6492
2014-03-13 10:30:00,15.1308
2014-03-14 10:30:00,13.1868
2014-03-15 10:30:00,16.0704
2014-03-16 10:30:00,14.8392
2014-03-17 10:30:00,9.277201
2014-03-18 10:30:00,16.815601
2014-03-19 10:30:00,9.1476
2014-03-20 10:30:00,15.141601
2014-03-21 10:30:00,17.4528
